baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	21.1606808202178	0.0395925162745547	0.0671887654135966	0.589272864754003	0.55567824471259	0.707184232009277
A2M	3525.25610144824	-0.0756305140357446	0.0594187317513906	-1.27283958789603	0.203074970147259	0.359829496740838
A2ML1	149.612699953076	0.374871002832141	0.0639825759467905	5.85895452449262	4.65790215363007e-09	1.61452204449125e-06
A3GALT2	3.32850649616705	0.216498929885043	0.0963450234941323	2.24712104510752	0.0246322922966661	0.0831685611010063
A4GALT	209.330161157186	0.212721113054523	0.0678317529656915	3.13601084675071	0.00171262869378769	0.0139941385629582
A4GNT	0.315253757404072	-0.209708457221895	0.205096999060016	-1.02248427906314	0.306551749571294	0.474742951641506
AAAS	624.753901004723	0.0783665803389516	0.042921585483698	1.82580814421955	0.0678791661243388	0.167867269991569
AACS	1416.57495514198	-0.0405551932263447	0.0353847596985267	-1.1461203515827	0.251745357835469	0.415828342848835
AADAC	0.180959414132506	-0.17792275650997	0.460760268011468	-0.386150388525995	0.699385293710247	0.817718850792167
AADAT	221.441652043404	-0.0477016099468006	0.0298755785289241	-1.5966756894973	0.110338017373641	0.236312557433709
AAED1	120.179499416305	0.017758486056511	0.0370770421534374	0.478961778639741	0.631965819811354	0.766440356794052
AAGAB	695.445685383653	-0.0745770688529363	0.0280131096778976	-2.66222028580346	0.00776270577384478	0.0376639008304882
AAK1	4405.43514294038	-0.0681373823743653	0.0446315570273669	-1.52666379827585	0.126844633834321	0.260621736690292
AAMDC	141.295246115228	0.0907036211428053	0.0480252454774043	1.88866543504668	0.05893667294718	0.15193090567419
AAMP	1670.84420557196	0.0227705860119782	0.0270150600322266	0.842884894011524	0.399292822698466	0.56870470747324
AANAT	8.01623625385346	-0.0042196379018093	0.0683494720079129	-0.0617362179669915	0.950772897199589	0.971820710156102
AAR2	319.242921962834	0.0528965857995717	0.0239631304698263	2.20741550717581	0.0272850439770006	0.0893063450737294
AARD	14.0692854424381	0.00686792319284591	0.0611604574017156	0.112293522393658	0.910590677700799	0.950346081851894
AARS	4348.27117672071	-0.0365218871125727	0.0261689657497339	-1.39561828548551	0.162829473063478	0.309817762347455
AARS2	329.999297134348	-0.0894185668340362	0.0350546865940804	-2.55083058848788	0.0107466549704416	0.0470255530955017
AARSD1	65.417666525763	-0.00446445848064523	0.0751435542012977	-0.0594123944242197	0.952623641176177	0.973060666306614
AASDH	255.227480612771	0.000253123354455256	0.0260484870720088	0.00971739179152779	0.992246765138486	0.996168837135528
AASDHPPT	1544.74841194979	-0.110528561504464	0.0467273746366426	-2.36539207186251	0.0180109921327235	0.0667840189671012
AASS	226.965450307302	-0.045581621575039	0.0512051500263352	-0.890176506691142	0.373371117403007	0.544243562683439
AATK	4111.26980178014	0.0563271005676487	0.0448103697770145	1.25701039397675	0.20874987187672	0.366958518054107
ABAT	5527.80494665125	-0.0327678136964123	0.0305973502734397	-1.07093631976546	0.284198063691758	0.450716740908651
ABCA1	380.952878426617	-0.0748066537161413	0.0645080759844731	-1.15964788244726	0.2461921975004	0.410067945687595
ABCA10	189.284573503181	-0.0937646909012995	0.0656012045053773	-1.42931355618042	0.152914131409955	0.296883054305018
ABCA12	5.37743430789157	-0.0336182218816415	0.0714031025131774	-0.470822985253859	0.637767148983563	0.771221215394511
ABCA13	1.02785916847657	-0.537846511794078	0.189297117487551	-2.84128210155894	0.00449325460919031	0.026079234973837
ABCA2	10841.5043040332	0.0631110428016741	0.0407760094127633	1.54774936808602	0.121682651042	0.252774131992309
ABCA3	3235.69255422872	-0.0209655415349163	0.030461829569548	-0.688256149784091	0.491291490254743	0.653810398341776
ABCA4	27.1442924093554	-0.0695737967832802	0.0524005173058543	-1.32773110572913	0.184266953706364	0.336705653547185
ABCA5	872.808136701769	-0.141518520648543	0.0473185198053018	-2.99076389605675	0.00278280563315821	0.0188910318951292
ABCA6	161.755089255365	-0.0124636578848205	0.0741071662070506	-0.16818424617665	0.866438334138996	0.924531632124303
ABCA7	820.062563122206	0.188856246938082	0.0654936834671816	2.88357955974054	0.00393183313175342	0.0236688433506143
